Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,depot,3000,0.4,1.0,1,0,0.65,0.5,0.37,0.19
sam_without,depot,300,0.4,1.0,1,0,0.48,0.52,0.93,0.68
rosame,depot,300,0.4,1.0,1,0,0.57,0.4,0.57,0.27
sam_with,depot,3000,0.4,1.0,2,0,0.42,0.4,0.3,0.14
sam_without,depot,300,0.4,1.0,2,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.4,1.0,2,0,0.47,0.5,0.47,0.28
sam_with,depot,3000,0.4,1.0,3,0,0.6,0.2,0.4,0.05
sam_without,depot,300,0.4,1.0,3,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.4,1.0,3,0,0.53,0.67,0.53,0.25
sam_with,depot,3000,0.4,1.0,4,0,0.37,0.2,0.27,0.04
sam_without,depot,300,0.4,1.0,4,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.4,1.0,4,0,0.33,0.2,0.33,0.04
sam_with,depot,3000,0.5,0.2,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.2,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.2,0,0,0.95,1.0,1.0,0.96
sam_with,depot,3000,0.5,0.2,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.2,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.2,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.2,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.2,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.2,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.2,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.2,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.2,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.2,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.2,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.2,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.4,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.4,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.4,0,0,0.97,0.97,1.0,0.95
sam_with,depot,3000,0.5,0.4,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.4,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.4,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.4,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.4,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.4,2,0,0.97,1.0,1.0,0.96
sam_with,depot,3000,0.5,0.4,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.4,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.4,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.4,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.5,0.4,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.5,0.4,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.6,0,0,1.0,1.0,1.0,0.74
sam_without,depot,300,0.5,0.6,0,0,0.5,0.55,1.0,0.74
rosame,depot,300,0.5,0.6,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.6,1,0,1.0,1.0,1.0,0.79
sam_without,depot,300,0.5,0.6,1,0,0.62,0.63,1.0,0.79
rosame,depot,300,0.5,0.6,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.6,2,0,1.0,1.0,1.0,0.63
sam_without,depot,300,0.5,0.6,2,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.5,0.6,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.6,3,0,1.0,1.0,1.0,0.68
sam_without,depot,300,0.5,0.6,3,0,0.52,0.52,1.0,0.68
rosame,depot,300,0.5,0.6,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.5,0.6,4,0,1.0,1.0,1.0,0.69
sam_without,depot,300,0.5,0.6,4,0,0.5,0.53,1.0,0.69
rosame,depot,300,0.5,0.6,4,0,0.97,0.93,1.0,1.0
sam_with,depot,3000,0.5,0.8,0,0,0.67,0.78,0.67,0.46
sam_without,depot,300,0.5,0.8,0,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.5,0.8,0,0,0.8,0.9,0.8,0.64
sam_with,depot,3000,0.5,0.8,1,0,0.87,0.9,0.87,0.6
sam_without,depot,300,0.5,0.8,1,0,0.5,0.52,1.0,0.68
rosame,depot,300,0.5,0.8,1,0,0.93,1.0,0.93,0.83
sam_with,depot,3000,0.5,0.8,2,0,0.9,0.9,0.9,0.59
sam_without,depot,300,0.5,0.8,2,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.5,0.8,2,0,0.97,1.0,0.97,0.84
sam_with,depot,3000,0.5,0.8,3,0,0.93,0.93,0.93,0.59
sam_without,depot,300,0.5,0.8,3,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.5,0.8,3,0,0.92,1.0,0.97,0.79
sam_with,depot,3000,0.5,0.8,4,0,0.8,0.83,0.8,0.54
sam_without,depot,300,0.5,0.8,4,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.5,0.8,4,0,0.83,0.93,0.83,0.74
sam_with,depot,3000,0.5,1.0,0,0,0.37,0.37,0.37,0.22
sam_without,depot,300,0.5,1.0,0,0,0.5,0.5,1.0,0.63
