Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,rover,10,0.4,0.8,1,0,0.43,0.27,0.49,0.61
sam_with,rover,10,0.4,0.8,2,5,0.94,0.13,0.19,0.85
sam_without,rover,10,0.4,0.8,2,5,0.94,0.13,0.25,0.85
rosame,rover,10,0.4,0.8,2,0,0.39,0.23,0.19,0.65
sam_with,rover,10,0.4,0.8,3,5,1,0.16,0.28,0.91
sam_without,rover,10,0.4,0.8,3,5,1,0.16,0.28,0.91
rosame,rover,10,0.4,0.8,3,0,0.31,0.22,0.36,0.54
sam_with,rover,10,0.4,0.8,4,5,1,0.15,0.24,0.93
sam_without,rover,10,0.4,0.8,4,5,1,0.15,0.24,0.93
rosame,rover,10,0.4,0.8,4,0,0.45,0.22,0.36,0.53
sam_with,rover,10,0.4,1,0,4,0.61,0.11,0.08,0.72
sam_without,rover,10,0.4,1,0,4,0.72,0.12,0.24,0.74
rosame,rover,10,0.4,1,0,0,0.4,0.16,0.3,0.34
sam_with,rover,10,0.4,1,1,5,0.61,0.07,0.06,0.69
sam_without,rover,10,0.4,1,1,5,0.72,0.08,0.28,0.71
rosame,rover,10,0.4,1,1,0,0.24,0.22,0.28,0.38
sam_with,rover,10,0.4,1,2,5,0.75,0.06,0.14,0.7
sam_without,rover,10,0.4,1,2,5,0.75,0.06,0.14,0.7
rosame,rover,10,0.4,1,2,0,0.2,0.17,0.25,0.47
sam_with,rover,10,0.4,1,3,5,0.8,0.13,0.19,0.83
sam_without,rover,10,0.4,1,3,5,0.8,0.13,0.19,0.83
rosame,rover,10,0.4,1,3,0,0.24,0.24,0.3,0.49
sam_with,rover,10,0.4,1,4,5,0.78,0.08,0.13,0.77
sam_without,rover,10,0.4,1,4,5,0.81,0.08,0.19,0.77
rosame,rover,10,0.4,1,4,0,0.31,0.14,0.38,0.31
sam_with,rover,10,0.5,0.2,0,4,1,0.29,0.47,0.98
sam_without,rover,10,0.5,0.2,0,4,1,0.29,0.47,0.98
rosame,rover,10,0.5,0.2,0,0,0.59,0.37,0.57,0.79
sam_with,rover,10,0.5,0.2,1,5,1,0.21,0.44,0.94
sam_without,rover,10,0.5,0.2,1,5,1,0.21,0.44,0.94
